Date,Open,High,Low,Close,Volume
01/08/2025,"880.00","886.22","873.00","875.00","2,347,949"
01/07/2025,"879.38","888.00","869.11","879.19","2,649,823"
01/06/2025,"888.76","892.83","871.69","881.79","3,457,656"
01/03/2025,"893.13","898.83","879.89","881.05","2,970,019"
01/02/2025,"895.50","898.58","877.00","886.73","2,315,685"
12/31/2024,"901.80","902.68","889.47","891.32","1,875,897"
12/30/2024,"894.51","908.23","889.71","900.43","2,202,970"
12/27/2024,"916.01","918.13","894.50","907.55","3,226,158"
12/26/2024,"928.40","930.49","915.30","924.14","2,342,418"
12/24/2024,"915.00","935.85","911.70","932.12","2,320,293"
12/23/2024,"913.42","915.00","899.10","911.45","2,339,375"
12/20/2024,"893.21","919.92","890.49","909.05","4,530,519"
12/19/2024,"908.18","912.62","899.00","902.04","2,815,512"
12/18/2024,"919.13","922.44","886.56","889.55","2,938,194"
12/17/2024,"921.54","928.45","916.42","919.13","2,459,456"
12/16/2024,"923.94","928.94","919.50","921.08","2,674,892"
12/13/2024,"916.81","925.55","909.61","918.87","2,485,829"
12/12/2024,"933.35","934.09","922.60","925.55","2,486,197"
12/11/2024,"924.71","941.75","923.08","936.56","3,501,691"
12/10/2024,"913.76","922.88","909.58","913.35","2,388,575"
12/09/2024,"928.00","930.30","902.59","913.69","3,350,082"
12/06/2024,"915.23","935.27","912.71","934.74","2,955,383"
12/05/2024,"917.85","927.00","911.11","917.87","2,835,307"
12/04/2024,"898.05","915.97","898.05","911.06","2,689,629"
12/03/2024,"894.36","902.69","888.03","902.17","2,401,634"
12/02/2024,"887.51","902.34","884.12","897.74","2,388,966"
11/29/2024,"882.17","892.41","876.68","886.81","2,027,237"
11/27/2024,"872.06","880.95","858.91","877.34","2,578,222"
11/26/2024,"867.49","886.36","867.25","872.60","3,138,259"
11/25/2024,"902.05","902.05","864.22","865.59","6,014,203"
11/22/2024,"896.00","906.00","893.00","897.79","3,214,020"
11/21/2024,"883.93","908.00","877.24","897.48","4,511,263"
11/20/2024,"879.98","890.60","868.40","883.85","4,093,843"
11/19/2024,"839.75","874.49","839.16","871.32","3,814,227"
11/18/2024,"815.50","848.45","809.33","847.05","4,084,081"
11/15/2024,"832.04","832.04","816.49","823.96","3,673,720"
11/14/2024,"833.67","841.00","830.02","837.26","3,038,231"
11/13/2024,"822.62","836.99","820.54","830.47","2,767,772"
11/12/2024,"807.50","820.37","803.75","819.50","2,814,064"
11/11/2024,"795.90","806.82","795.57","805.44","2,399,150"
11/08/2024,"797.36","799.06","788.65","795.04","1,910,626"
11/07/2024,"781.37","798.22","779.94","796.54","3,295,074"
11/06/2024,"771.50","781.49","757.38","780.21","3,690,817"
11/05/2024,"757.35","767.53","756.27","763.91","2,200,645"
11/04/2024,"753.14","762.48","749.69","755.51","1,902,194"
11/01/2024,"753.48","763.80","747.77","756.10","2,996,829"
10/31/2024,"753.93","760.79","752.23","756.03","3,057,709"
10/30/2024,"758.08","759.79","752.28","753.74","1,722,002"
10/29/2024,"751.13","763.88","748.01","759.44","3,660,433"
10/28/2024,"758.68","758.68","747.88","749.12","2,862,405"
10/25/2024,"756.17","768.50","753.53","754.68","2,819,473"
10/24/2024,"751.97","755.82","746.25","754.55","2,642,962"
10/23/2024,"762.83","763.79","744.26","749.29","3,749,007"
10/22/2024,"765.27","769.70","761.12","764.24","2,987,252"
10/21/2024,"765.76","773.00","756.60","772.07","6,057,093"
10/18/2024,"737.64","766.28","736.23","763.89","15,974,120"
10/17/2024,"704.35","704.41","677.88","687.65","8,926,672"
10/16/2024,"703.43","705.59","697.82","702.00","2,494,276"
10/15/2024,"712.51","713.40","699.78","705.98","2,932,752"
10/14/2024,"725.00","726.62","711.31","713.00","2,797,071"
10/11/2024,"734.90","736.00","721.22","722.79","2,299,525"
10/10/2024,"723.29","733.85","722.50","730.29","2,767,862"
10/09/2024,"719.25","728.59","718.87","727.43","1,981,070"
10/08/2024,"703.88","725.06","703.55","721.76","3,187,402"
10/07/2024,"714.76","715.88","696.43","701.92","3,360,520"
10/04/2024,"713.32","721.01","708.82","719.70","2,230,139"
10/03/2024,"704.26","708.81","700.00","706.80","2,256,449"
10/02/2024,"706.13","716.21","704.69","711.09","1,758,167"
10/01/2024,"713.64","717.76","698.59","706.13","2,813,482"
09/30/2024,"707.00","711.21","702.82","709.27","1,711,508"
09/27/2024,"708.36","710.71","701.25","707.35","2,395,613"
09/26/2024,"724.73","725.26","701.72","711.43","2,832,962"
09/25/2024,"721.00","725.12","716.21","721.56","2,259,775"
09/24/2024,"706.63","722.44","704.45","722.26","3,565,731"
09/23/2024,"702.39","712.25","699.16","705.37","3,224,344"
09/20/2024,"705.55","706.67","696.31","701.03","3,998,062"
09/19/2024,"705.00","715.66","695.37","704.32","4,228,480"
09/18/2024,"707.55","707.55","688.00","690.47","2,984,411"
09/17/2024,"700.82","707.63","698.37","706.91","2,298,630"
09/16/2024,"700.00","703.02","688.63","696.50","1,843,745"
09/13/2024,"680.01","699.64","680.00","697.06","2,276,482"
09/12/2024,"684.92","694.88","682.20","686.80","2,588,437"
09/11/2024,"677.46","682.97","660.80","681.47","2,391,924"
09/10/2024,"676.87","680.59","665.81","673.62","2,079,182"
09/09/2024,"674.00","683.50","672.14","675.42","2,683,111"
09/06/2024,"681.86","683.15","662.34","665.77","2,991,265"
09/05/2024,"673.14","687.31","671.86","683.62","1,810,072"
09/04/2024,"673.31","684.65","673.06","679.68","1,785,337"
09/03/2024,"700.10","703.86","671.01","675.32","3,158,690"
08/30/2024,"700.36","701.86","688.16","701.35","3,266,723"
08/29/2024,"690.00","699.80","686.07","692.48","2,186,974"
08/28/2024,"695.83","696.67","677.10","683.84","2,430,583"
08/27/2024,"688.53","707.89","686.92","695.72","3,164,878"
08/26/2024,"687.26","690.59","681.64","688.44","1,354,154"
08/23/2024,"694.13","696.07","678.63","686.73","2,354,450"
08/22/2024,"691.00","701.50","686.24","688.96","2,729,389"
08/21/2024,"697.00","701.00","691.38","697.12","2,235,343"
08/20/2024,"688.86","711.33","688.25","698.54","4,813,118"
08/19/2024,"674.07","688.84","672.91","688.53","3,016,227"
08/16/2024,"669.43","680.23","665.36","674.07","3,511,014"
08/15/2024,"668.49","673.19","659.80","663.22","3,210,173"
08/14/2024,"648.70","663.57","648.70","661.68","4,014,344"
08/13/2024,"638.56","650.97","635.50","648.02","2,639,571"
08/12/2024,"631.00","639.00","627.07","633.14","2,331,712"
08/09/2024,"622.99","636.62","622.99","633.94","1,980,836"
08/08/2024,"621.99","632.29","616.02","630.35","3,283,542"
08/07/2024,"616.07","632.00","610.64","611.48","3,187,791"
08/06/2024,"600.62","622.45","600.62","609.57","4,319,057"
08/05/2024,"587.04","604.56","587.04","598.55","4,044,235"
08/02/2024,"620.98","625.27","608.35","613.64","3,523,003"
08/01/2024,"629.25","646.71","617.61","624.85","3,720,573"
07/31/2024,"626.57","633.60","622.58","628.35","3,134,877"
07/30/2024,"630.17","634.69","617.00","622.58","3,496,609"
07/29/2024,"634.61","634.61","623.93","626.96","2,400,537"
07/26/2024,"645.00","646.99","629.77","631.37","3,120,659"
07/25/2024,"641.00","649.98","621.70","634.09","4,554,539"
07/24/2024,"635.74","652.42","632.67","635.99","4,888,163"
07/23/2024,"647.50","649.91","641.00","642.76","2,463,579"
07/22/2024,"639.50","656.29","632.60","647.50","5,219,077"
07/19/2024,"660.64","678.97","629.12","633.34","9,815,631"
07/18/2024,"656.60","657.04","639.17","643.04","7,575,763"
07/17/2024,"650.00","650.45","639.47","647.46","4,017,277"
07/16/2024,"661.80","663.68","649.13","656.32","2,685,706"
07/15/2024,"647.50","667.54","646.63","656.45","3,208,763"
07/12/2024,"652.75","655.92","643.71","647.60","3,355,197"
07/11/2024,"672.49","672.49","647.44","652.75","5,111,928"
07/10/2024,"685.02","687.22","673.16","677.65","2,651,928"
07/09/2024,"690.00","695.27","684.72","685.74","2,599,474"
07/08/2024,"687.00","688.86","681.49","685.74","1,930,786"
